"","HPI","ISO","year"
"796",40.3,"JPN",2016
"797",0,"BTN",2016
"798",39.4,"CHN",2016
"799",41.9,"MKD",2016
"800",37.8,"KGZ",2016
"801",41.8,"TWN",2016
"802",37,"LTU",2016
"803",38.9,"SVK",2016
"804",43.3,"LKA",2016
"805",38.5,"ISL",2016
"806",41.8,"POL",2016
"807",40.7,"IDN",2016
"808",40.3,"MUS",2016
"809",40.4,"URY",2016
"810",35.1,"BHR",2016
"811",38,"BIH",2016
"812",37.7,"SEN",2016
"813",35.8,"AUS",2016
"814",39.2,"MLT",2016
"815",42.7,"BGD",2016
"816",0,"MYS",2016
"817",40,"LVA",2016
"818",39.8,"LBY",2016
"819",37.9,"BEL",2016
"820",37.9,"BLR",2016
"821",40.9,"TUN",2016
"822",32.3,"EST",2016
"823",36.6,"KOR",2016
"824",35.9,"BGR",2016
"825",43.1,"NPL",2016
"826",36.8,"CAN",2016
"827",35.6,"GEO",2016
"828",33.3,"CYP",2016
"829",30.4,"UKR",2016
"830",37.6,"KHM",2016
"831",35.3,"MNE",2016
"832",29.6,"COG",2016
"833",34.3,"SRB",2016
"834",31.4,"GAB",2016
"835",37.6,"AZE",2016
"836",35.4,"ETH",2016
"837",39.4,"PRY",2016
"838",40.4,"TUR",2016
"839",42.4,"PAK",2016
"840",28.5,"IRQ",2016
"841",32.2,"CMR",2016
"842",27.6,"MOZ",2016
"843",34.1,"GHA",2016
"844",45,"JOR",2016
"845",26.6,"VEN",2016
"846",33,"MRT",2016
"847",28.4,"CIV",2016
"848",36.5,"EGY",2016
"849",31,"USA",2016
"850",37.4,"BOL",2016
"851",35.1,"MMR",2016
"852",21.6,"GIN",2016
"853",29.9,"UGA",2016
"854",31.1,"KEN",2016
"855",29.9,"NER",2016
"856",27.6,"SGP",2016
"857",0,"LAO",2016
"858",28.7,"MDG",2016
"859",25.6,"KAZ",2016
"860",26.9,"ZAF",2016
"861",28.4,"SAU",2016
"862",30.9,"IRN",2016
"863",25.3,"BEN",2016
"864",26.4,"BFA",2016
"865",22.1,"TZA",2016
"866",23.1,"LBR",2016
"867",27.4,"RWA",2016
"868",35.8,"IND",2016
"869",31.9,"RUS",2016
"870",24.4,"HTI",2016
"871",25.3,"MWI",2016
"872",30.3,"YEM",2016
"873",25.4,"ARE",2016
"874",23.6,"TGO",2016
"875",26,"HKG",2016
"876",27.1,"TKM",2016
"877",30.3,"COD",2016
"878",0,"TTO",2016
"879",22.3,"LUX",2016
"880",30.6,"SLE",2016
"881",22.3,"KWT",2016
"882",21.8,"MLI",2016
"883",0,"NAM",2016
"884",25.7,"NGA",2016
"885",26.3,"MNG",2016
"886",25.2,"ZWE",2016
"887",46.8,"LBN",2016
"888",28.8,"ZMB",2016
"889",0,"QAT",2016
"890",15.7,"TCD",2016
"891",31.7,"AFG",2016
"892",15.8,"LSO",2016
"893",16.7,"BWA",2016
"894",10.8,"CAF",2016
