HPI,ISO,year
31.7,GAB,2017
36.9,AZE,2017
34.7,ETH,2017
38.1,PRY,2017
42.4,TUR,2017
44.3,PAK,2017
30,IRQ,2017
34.7,CMR,2017
27.4,MOZ,2017
42.2,GHA,2017
41.1,JOR,2017
33.6,VEN,2017
34.9,MRT,2017
32.4,CIV,2017
32,EGY,2017
31.9,USA,2017
36.3,BOL,2017
31.5,MMR,2017
30.8,GIN,2017
28.5,UGA,2017
32,KEN,2017
33.3,NER,2017
28.9,SGP,2017
31.9,LAO,2017
32,MDG,2017
27.3,KAZ,2017
25.7,ZAF,2017
27.8,SAU,2017
30.5,IRN,2017
31.7,BEN,2017
29.4,BFA,2017
26,TZA,2017
31.6,LBR,2017
25.6,RWA,2017
34.9,IND,2017
30.7,RUS,2017
28.4,HTI,2017
25.5,MWI,2017
25.6,YEM,2017
27.9,ARE,2017
27.5,TGO,2017
25.3,HKG,2017
24.5,TKM,2017
29,COD,2017
25,TTO,2017
22.5,LUX,2017
26.1,SLE,2017
22.9,KWT,2017
26.8,MLI,2017
23.7,NAM,2017
26.6,NGA,2017
25.2,MNG,2017
24.8,ZWE,2017
46,LBN,2017
25.7,ZMB,2017
0,QAT,2017
18.7,TCD,2017
19.2,AFG,2017
16.2,LSO,2017
17.2,BWA,2017
15.9,CAF,2017
0,BDI,2016
0,SDN,2016
57.9,VUT,2016
55.9,SWE,2016
54.7,SLV,2016
54.1,CRI,2016
53.6,NIC,2016
53,DNK,2016
53,ESP,2016
52,PAN,2016
52,FRA,2016
51.3,CHL,2016
51,PRT,2016
50.9,MDA,2016
50.8,HND,2016
50.7,NLD,2016
50.5,NOR,2016
50.4,GTM,2016
49.8,FIN,2016
49.6,ITA,2016
49.5,GBR,2016
49.4,ROU,2016
49,PHL,2016
48.6,ISR,2016
48.3,GRC,2016
48.1,SVN,2016
48,HRV,2016
48,THA,2016
47.8,TJK,2016
47.7,IRL,2016
47.4,DZA,2016
47.3,DOM,2016
47,PER,2016
46.8,CZE,2016
46.3,ALB,2016
46.2,BRA,2016
45.7,DEU,2016
45.5,VNM,2016
45.3,AUT,2016
45.3,MAR,2016
44.7,ECU,2016
44.5,JAM,2016
43.8,ARG,2016
43.4,NZL,2016
43.3,MEX,2016
43,UZB,2016
43,ARM,2016
42.9,HUN,2016
42.9,COL,2016
42.9,CHE,2016
42.7,JPN,2016
42.3,BTN,2016
41.9,CHN,2016
41.7,MKD,2016
41.4,KGZ,2016
41.2,TWN,2016
41,LTU,2016
41,SVK,2016
40.4,LKA,2016
40.3,ISL,2016
40.3,POL,2016
40.1,IDN,2016
40,MUS,2016
39.9,URY,2016
39.9,BHR,2016
39.8,BIH,2016
39.7,SEN,2016
39.5,AUS,2016
39.3,MLT,2016
39.2,BGD,2016
39.1,MYS,2016
39.1,LVA,2016
39,LBY,2016
38.9,BEL,2016
38.7,BLR,2016
38.6,TUN,2016
38.3,EST,2016
38,KOR,2016
37.5,BGR,2016
37.4,NPL,2016
37.2,CAN,2016
37.2,GEO,2016
36.4,CYP,2016
36.4,UKR,2016
36.3,KHM,2016
35.5,MNE,2016
35.2,COG,2016
35,SRB,2016
34.4,GAB,2016
34.4,AZE,2016
34,ETH,2016
33.9,PRY,2016
33.8,TUR,2016
33.7,PAK,2016
33.4,IRQ,2016
33.4,CMR,2016
33.2,MOZ,2016
32.9,GHA,2016
32.8,JOR,2016
32.7,VEN,2016
32.4,MRT,2016
32.3,CIV,2016
32.2,EGY,2016
32.1,USA,2016
32.1,BOL,2016
31.6,MMR,2016
30.9,GIN,2016
30.7,UGA,2016
30.7,KEN,2016
30.6,NER,2016
30.5,SGP,2016
30.2,LAO,2016
29.8,MDG,2016
29.4,KAZ,2016
29.3,ZAF,2016
29.3,SAU,2016
29,IRN,2016
28.9,BEN,2016
28.8,BFA,2016
28.8,TZA,2016
28.6,LBR,2016
28.1,RWA,2016
27.8,IND,2016
27.8,RUS,2016
27.5,HTI,2016
27,MWI,2016
26.6,YEM,2016
26.4,ARE,2016
26.3,TGO,2016
26.3,HKG,2016
25.6,TKM,2016
24.9,COD,2016
24.9,TTO,2016
24.6,LUX,2016
24.6,SLE,2016
23.2,KWT,2016
22.2,MLI,2016
21.8,NAM,2016
21.6,NGA,2016
20.4,MNG,2016
19.7,ZWE,2016
19.2,LBN,2016
19.1,ZMB,2016
18.8,QAT,2016
18.3,TCD,2016
16.2,AFG,2016
15.6,LSO,2016
14.7,BWA,2016
13.7,CAF,2016
0,BDI,2015
0,SDN,2015
52.2,VUT,2015
53,SWE,2015
52.7,SLV,2015
61.1,CRI,2015
51.4,NIC,2015
48.5,DNK,2015
50.2,ESP,2015
53.9,PAN,2015
47.9,FRA,2015
52.6,CHL,2015
41.7,PRT,2015
53.1,MDA,2015
43.5,HND,2015
48.1,NLD,2015
48.9,NOR,2015
56.7,GTM,2015
44.4,FIN,2015
44.1,ITA,2015
43.9,GBR,2015
44.5,ROU,2015
48.8,PHL,2015
44.8,ISR,2015
42.7,GRC,2015
40.1,SVN,2015
40.9,HRV,2015
51.3,THA,2015
44,TJK,2015
43.9,IRL,2015
52.1,DZA,2015
41.4,DOM,2015
49.8,PER,2015
44.1,CZE,2015
44.4,ALB,2015
